ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13749331,JJ150171,02/15/2025 03:10:00 AM,013XX S SPAULDING AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,false,true,1021,010,24,29,04A,1154577,1893618,2025,02/23/2025 03:41:06 PM,41.86390688,-87.708031716,POINT (-87.708031716 41.86390688)
13749469,JJ150282,02/15/2025 03:00:00 AM,036XX W 30TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1032,010,22,30,14,1152384,1884475,2025,02/23/2025 03:41:06 PM,41.838860939,-87.716323332,POINT (-87.716323332 41.838860939)
13750902,JJ152002,02/15/2025 03:00:00 AM,032XX N TROY ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1733,017,33,21,05,1154809,1921405,2025,02/23/2025 03:41:06 PM,41.940152294,-87.706434633,POINT (-87.706434633 41.940152294)
13750870,JJ151863,02/15/2025 03:00:00 AM,026XX S MILLARD AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,false,true,1032,010,22,30,17,1152465,1886179,2025,02/23/2025 03:41:06 PM,41.843535331,-87.715981154,POINT (-87.715981154 41.843535331)
13749924,JJ150666,02/15/2025 03:00:00 AM,001XX W HUBBARD ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,1831,018,42,8,06,1175301,1903292,2025,02/23/2025 03:41:06 PM,41.890013524,-87.631664996,POINT (-87.631664996 41.890013524)
13749365,JJ150186,02/15/2025 03:00:00 AM,008XX W BELMONT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SMALL RETAIL STORE,false,true,1924,019,44,6,08B,1170308,1921460,2025,02/23/2025 03:41:06 PM,41.93997806,-87.649469376,POINT (-87.649469376 41.93997806)
13749794,JJ150806,02/15/2025 03:00:00 AM,014XX N SEDGWICK ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1821,018,27,8,06,1173383,1909988,2025,02/23/2025 03:41:06 PM,41.908430535,-87.638509526,POINT (-87.638509526 41.908430535)
13749491,JJ150390,02/15/2025 03:00:00 AM,029XX S CALUMET AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,false,false,0133,001,4,35,06,1178961,1885716,2025,02/23/2025 03:41:06 PM,41.841701035,-87.618761277,POINT (-87.618761277 41.841701035)
13749471,JJ150280,02/15/2025 03:00:00 AM,036XX W 30TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1032,010,22,30,06,1152389,1884475,2025,02/23/2025 03:41:06 PM,41.838860841,-87.716304984,POINT (-87.716304984 41.838860841)
13749383,JJ150162,02/15/2025 02:54:00 AM,0000X W WACKER DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,false,true,0111,001,42,32,08B,1176210,1902134,2025,02/23/2025 03:41:06 PM,41.886815464,-87.628361716,POINT (-87.628361716 41.886815464)
